etiqueta,frame,nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,mid_shoulder,mid_hip
subject_02,11,"[604.4725952148438, 117.63172912597656, 0.5549516677856445]","[627.7417602539062, 140.37545776367188, 0.20495614409446716]","[610.4390258789062, 139.7769317626953, 0.10430089384317398]","[630.7249755859375, 170.89991760253906, 0.2537910044193268]","[608.0524291992188, 170.89991760253906, 0.04180998355150223]","[622.9686279296875, 201.4243927001953, 0.5073192715644836]","[605.0692138671875, 194.24217224121094, 0.054134249687194824]","[621.1786499023438, 196.63624572753906, 0.057535525411367416]","[606.859130859375, 198.4318084716797, 0.10605957359075546]","[628.93505859375, 254.0940704345703, 0.22070640325546265]","[599.699462890625, 251.10147094726562, 0.2440415769815445]","[594.92626953125, 298.9830017089844, 0.14311698079109192]","[594.92626953125, 298.9830017089844, 0.22805941104888916]","[619.0903930664062, 140.07620239257812]","[614.0189208984375, 197.53402709960938]"
subject_02,12,"[599.1322021484375, 117.21807098388672, 0.4310685992240906]","[622.46923828125, 141.18890380859375, 0.2174527794122696]","[606.9111938476562, 139.9903564453125, 0.115170419216156]","[625.4611206054688, 175.9465789794922, 0.33601027727127075]","[605.7144165039062, 171.75169372558594, 0.03979595750570297]","[618.8789672851562, 202.31448364257812, 0.5358018279075623]","[600.9273071289062, 195.1232452392578, 0.05632045492529869]","[616.4853515625, 195.1232452392578, 0.0729050487279892]","[601.5256958007812, 197.5203094482422, 0.10500197857618332]","[619.477294921875, 255.05027770996094, 0.2899225652217865]","[596.1401977539062, 251.45465087890625, 0.20276090502738953]","[594.9434204101562, 298.19775390625, 0.14084060490131378]","[594.9434204101562, 298.19775390625, 0.24400588870048523]","[614.690185546875, 140.58963012695312]","[609.0054931640625, 196.32177734375]"
subject_02,13,"[594.7927856445312, 114.72845458984375, 0.36344146728515625]","[618.1808471679688, 140.4617156982422, 0.2179771512746811]","[601.3894653320312, 137.46946716308594, 0.10576662421226501]","[621.1793823242188, 172.179443359375, 0.21653157472610474]","[597.791259765625, 167.39186096191406, 0.040965743362903595]","[615.7821655273438, 202.10182189941406, 0.6354779601097107]","[594.7927856445312, 197.91270446777344, 0.055993229150772095]","[611.584228515625, 194.92047119140625, 0.08013627678155899]","[597.1915893554688, 197.31423950195312, 0.09793669730424881]","[607.986083984375, 252.9698944091797, 0.1740761399269104]","[593.5934448242188, 251.17457580566406, 0.2198086827993393]","[639.1702270507812, 275.7109375, 0.2617661952972412]","[594.7927856445312, 299.0503845214844, 0.23170994222164154]","[609.78515625, 138.96559143066406]","[604.387939453125, 196.1173553466797]"
subject_02,14,"[591.5848999023438, 117.01520538330078, 0.26648882031440735]","[613.7196655273438, 140.99684143066406, 0.22548063099384308]","[595.1742553710938, 137.99913024902344, 0.1355333775281906]","[616.7108764648438, 174.57110595703125, 0.2859025001525879]","[598.1654663085938, 172.17295837402344, 0.04162382334470749]","[612.523193359375, 202.74954223632812, 0.5163316130638123]","[590.388427734375, 194.35597229003906, 0.07016827911138535]","[607.7373046875, 197.3536834716797, 0.08625160157680511]","[592.7813720703125, 196.15460205078125, 0.10023360699415207]","[599.3619384765625, 252.5114288330078, 0.15458756685256958]","[591.5848999023438, 251.91189575195312, 0.2001367211341858]","[632.2649536132812, 278.8912353515625, 0.24461235105991364]","[593.977783203125, 299.2756042480469, 0.21476884186267853]","[604.4469604492188, 139.49798583984375]","[600.2593383789062, 196.754150390625]"
subject_02,15,"[585.50390625, 114.68351745605469, 0.34976905584335327]","[609.9700317382812, 139.85189819335938, 0.20375420153141022]","[590.2777709960938, 138.6533966064453, 0.1193581074476242]","[612.35693359375, 174.00897216796875, 0.3273105025291443]","[587.890869140625, 171.01275634765625, 0.051001548767089844]","[609.373291015625, 203.9713592529297, 0.45638370513916016]","[584.9071655273438, 197.9788818359375, 0.08189987391233444]","[603.4059448242188, 197.37962341308594, 0.08210591226816177]","[587.890869140625, 196.78038024902344, 0.08991306275129318]","[590.87451171875, 251.31185913085938, 0.1943124383687973]","[589.0843505859375, 251.9111328125, 0.1536748707294464]","[621.9047241210938, 278.87725830078125, 0.21778926253318787]","[594.4549560546875, 298.65240478515625, 0.18524301052093506]","[600.1239013671875, 139.25265502929688]","[595.6484375, 197.0800018310547]"
subject_02,16,"[581.1988525390625, 115.4827651977539, 0.32283639907836914]","[605.6718139648438, 139.43893432617188, 0.20249046385288239]","[584.7802124023438, 138.24111938476562, 0.12965333461761475]","[608.0594482421875, 173.5764617919922, 0.3314744532108307]","[582.3926391601562, 173.5764617919922, 0.14800800383090973]","[606.2687377929688, 204.1205596923828, 0.40213289856910706]","[577.0205078125, 201.1260528564453, 0.2400934249162674]","[599.1058959960938, 197.5326385498047, 0.07543963938951492]","[584.7802124023438, 196.33480834960938, 0.06549190729856491]","[581.1988525390625, 250.83509826660156, 0.11010077595710754]","[588.9585571289062, 252.0329132080078, 0.0967477560043335]","[609.8501586914062, 281.9781188964844, 0.14179930090904236]","[594.9276123046875, 298.7474365234375, 0.1297873854637146]","[595.2260131835938, 138.84002685546875]","[591.9430541992188, 196.9337158203125]"
subject_02,17,"[576.3034057617188, 113.7608413696289, 0.3403523862361908]","[601.412841796875, 140.10093688964844, 0.19539698958396912]","[579.8904418945312, 140.10093688964844, 0.15059752762317657]","[603.8041381835938, 173.02603149414062, 0.33205488324165344]","[577.4990844726562, 172.42739868164062, 0.19894391298294067]","[603.8041381835938, 204.15524291992188, 0.35633185505867004]","[567.93359375, 202.9579620361328, 0.25375011563301086]","[594.2386474609375, 198.76747131347656, 0.07666400820016861]","[581.0861206054688, 196.37294006347656, 0.08619533479213715]","[573.314208984375, 249.65174865722656, 0.16310107707977295]","[587.0645751953125, 247.25718688964844, 0.049171898514032364]","[598.423583984375, 289.1618957519531, 0.07889958471059799]","[597.2279052734375, 285.570068359375, 0.05040791258215904]","[590.651611328125, 140.10093688964844]","[587.662353515625, 197.57020568847656]"
subject_02,18,"[572.4656982421875, 114.32392120361328, 0.3881845772266388]","[596.9284057617188, 140.72000122070312, 0.2079760581254959]","[575.448974609375, 140.12008666992188, 0.19487960636615753]","[599.9116821289062, 174.91494750976562, 0.3004835546016693]","[572.4656982421875, 173.11520385742188, 0.254653662443161]","[600.5083618164062, 205.51040649414062, 0.3538869619369507]","[561.1292724609375, 203.11077880859375, 0.36214080452919006]","[589.7686157226562, 200.11122131347656, 0.08184409886598587]","[577.8355102539062, 198.91139221191406, 0.09574132412672043]","[567.0958251953125, 248.7040252685547, 0.22774143517017365]","[587.3819580078125, 251.10366821289062, 0.1854201853275299]","[583.8020629882812, 291.89764404296875, 0.05844033509492874]","[594.5418090820312, 296.0970153808594, 0.07059124857187271]","[586.188720703125, 140.4200439453125]","[583.8020629882812, 199.5113067626953]"
subject_02,19,"[567.2245483398438, 115.80938720703125, 0.5977205038070679]","[592.9036865234375, 140.97503662109375, 0.18334846198558807]","[570.8076782226562, 140.37583923339844, 0.17300094664096832]","[595.8896484375, 175.72756958007812, 0.32640016078948975]","[566.6273803710938, 175.1283721923828, 0.3165542781352997]","[597.083984375, 206.28582763671875, 0.4745703637599945]","[554.08642578125, 202.69073486328125, 0.45713841915130615]","[584.5430297851562, 199.0956573486328, 0.07574430853128433]","[572.0020751953125, 197.8972930908203, 0.10427989065647125]","[561.849853515625, 248.22854614257812, 0.17106172442436218]","[584.5430297851562, 249.4269256591797, 0.16694888472557068]","[569.01611328125, 298.559814453125, 0.0849316343665123]","[594.0980834960938, 296.1630859375, 0.08032270520925522]","[581.855712890625, 140.67544555664062]","[578.2725830078125, 198.49647521972656]"
subject_02,20,"[562.9297485351562, 117.0599136352539, 0.465402752161026]","[587.9324951171875, 142.80860900878906, 0.24284985661506653]","[567.6921997070312, 141.01217651367188, 0.18712088465690613]","[591.5043334960938, 176.94056701660156, 0.3750600516796112]","[559.9532470703125, 178.73699951171875, 0.4314674437046051]","[593.8855590820312, 208.6773223876953, 0.4509465992450714]","[546.8565673828125, 202.68927001953125, 0.5193326473236084]","[580.1935424804688, 197.89881896972656, 0.10108161717653275]","[567.6921997070312, 197.3000030517578, 0.15004390478134155]","[558.7626342773438, 249.39617919921875, 0.21295903623104095]","[582.5747680664062, 251.1925811767578, 0.17973357439041138]","[553.4049072265625, 302.6899719238281, 0.1978699266910553]","[594.4808349609375, 298.4983215332031, 0.19527658820152283]","[577.8123779296875, 141.910400390625]","[573.94287109375, 197.5994110107422]"
subject_02,21,"[559.0687255859375, 116.6861343383789, 0.6447850465774536]","[582.4087524414062, 143.61563110351562, 0.26103901863098145]","[563.2579345703125, 143.61563110351562, 0.19362500309944153]","[587.1964111328125, 177.726318359375, 0.3904610872268677]","[554.8794555664062, 178.32473754882812, 0.3521152436733246]","[588.9918823242188, 209.4432830810547, 0.6065903306007385]","[539.9179077148438, 203.4589385986328, 0.47411754727363586]","[575.2272338867188, 200.46676635742188, 0.10906865447759628]","[563.8563842773438, 198.0730438232422, 0.11365672200918198]","[555.4779052734375, 252.5304718017578, 0.2517850697040558]","[580.014892578125, 252.5304718017578, 0.25554710626602173]","[539.9179077148438, 302.200439453125, 0.24326735734939575]","[593.779541015625, 297.4129638671875, 0.25787073373794556]","[572.8333740234375, 143.61563110351562]","[569.5418090820312, 199.2698974609375]"
subject_02,22,"[554.2334594726562, 118.94095611572266, 0.7848426699638367]","[578.1578369140625, 144.73074340820312, 0.2598840594291687]","[559.018310546875, 142.93145751953125, 0.18662193417549133]","[582.9426879882812, 178.9171905517578, 0.3947224020957947]","[550.0466918945312, 177.11790466308594, 0.355000764131546]","[584.737060546875, 211.3043670654297, 0.5861335396766663]","[533.897705078125, 203.50746154785156, 0.5688832998275757]","[570.3824462890625, 199.30909729003906, 0.1283092200756073]","[559.018310546875, 198.70936584472656, 0.16503846645355225]","[552.4391479492188, 252.68797302246094, 0.24591265618801117]","[576.363525390625, 252.68797302246094, 0.2663153409957886]","[532.1033935546875, 299.46942138671875, 0.28059765696525574]","[593.110595703125, 296.4706115722656, 0.29508158564567566]","[568.5880737304688, 143.8311004638672]","[564.7003784179688, 199.0092315673828]"
subject_02,23,"[550.1764526367188, 119.17960357666016, 0.9867336750030518]","[572.8245239257812, 146.179443359375, 0.2460116595029831]","[553.156494140625, 143.17945861816406, 0.22856320440769196]","[576.99658203125, 179.7792510986328, 0.40599629282951355]","[544.8124389648438, 179.17926025390625, 0.4633135199546814]","[579.3805541992188, 212.1790771484375, 0.7586501836776733]","[528.7203979492188, 203.7791290283203, 0.6204451322555542]","[564.4805297851562, 201.379150390625, 0.12152710556983948]","[553.156494140625, 198.97914123535156, 0.13978096842765808]","[545.408447265625, 254.77883911132812, 0.2867662310600281]","[572.8245239257812, 254.1788330078125, 0.3710540235042572]","[525.1444091796875, 304.57855224609375, 0.3092539310455322]","[591.3005981445312, 294.9786071777344, 0.3000186085700989]","[562.990478515625, 144.679443359375]","[558.8184814453125, 200.17913818359375]"
subject_02,24,"[544.3598022460938, 118.31389617919922, 0.5262894630432129]","[567.074951171875, 147.07443237304688, 0.29579561948776245]","[547.3486328125, 144.07855224609375, 0.28199735283851624]","[571.8570556640625, 182.42593383789062, 0.4395841360092163]","[539.57763671875, 178.231689453125, 0.48425745964050293]","[574.845947265625, 212.9840087890625, 0.8882293105125427]","[524.0357055664062, 204.5955047607422, 0.8010541200637817]","[559.9017333984375, 201.0004425048828, 0.13595499098300934]","[547.3486328125, 200.40126037597656, 0.18042895197868347]","[540.1754150390625, 254.32728576660156, 0.31576743721961975]","[566.4771728515625, 254.32728576660156, 0.34813302755355835]","[524.0357055664062, 304.658203125, 0.349515825510025]","[589.7901000976562, 292.6746520996094, 0.40544700622558594]","[557.2117919921875, 145.5764923095703]","[553.6251831054688, 200.7008514404297]"
subject_02,25,"[539.5186767578125, 116.72103118896484, 0.902945876121521]","[561.603271484375, 146.67605590820312, 0.25503283739089966]","[543.0999755859375, 143.68055725097656, 0.2360483855009079]","[565.7814331054688, 182.02297973632812, 0.49923428893089294]","[534.74365234375, 178.42837524414062, 0.4068709909915924]","[568.1689453125, 213.1761932373047, 0.8057326078414917]","[519.8216552734375, 204.78878784179688, 0.8423202037811279]","[552.6500854492188, 200.5950927734375, 0.13485275208950043]","[541.90625, 198.1986846923828, 0.17434199154376984]","[534.74365234375, 255.1132049560547, 0.2541629374027252]","[557.4251098632812, 253.31591796875, 0.31576651334762573]","[521.6123046875, 305.4376525878906, 0.3545997142791748]","[586.0753173828125, 289.8610534667969, 0.3655987083911896]","[552.3516235351562, 145.17831420898438]","[547.2781982421875, 199.39688110351562]"
subject_02,26,"[533.2981567382812, 117.68585205078125, 0.70232754945755]","[556.61865234375, 145.82577514648438, 0.25503242015838623]","[536.8859252929688, 142.8321533203125, 0.27381354570388794]","[559.6084594726562, 180.5516357421875, 0.4141719341278076]","[530.9063110351562, 175.1631317138672, 0.3251316547393799]","[562.5982666015625, 214.0800323486328, 0.6619491577148438]","[516.5552368164062, 204.50050354003906, 0.5740337371826172]","[547.6492309570312, 199.1120147705078, 0.1259685456752777]","[536.8859252929688, 199.1120147705078, 0.14675116539001465]","[529.7103881835938, 253.5956573486328, 0.3255627751350403]","[547.6492309570312, 254.7931365966797, 0.3297627568244934]","[521.3389282226562, 306.283203125, 0.32294762134552]","[581.7330322265625, 287.1241149902344, 0.24381791055202484]","[546.7523193359375, 144.32896423339844]","[542.267578125, 199.1120147705078]"
subject_02,27,"[529.2059326171875, 116.59610748291016, 0.6598765254020691]","[551.8811645507812, 144.14381408691406, 0.26730141043663025]","[531.5928344726562, 141.1494903564453, 0.24796877801418304]","[554.26806640625, 179.4767303466797, 0.42861583828926086]","[525.6256103515625, 176.48240661621094, 0.275326132774353]","[555.4614868164062, 213.61190795898438, 0.5869097113609314]","[513.0945434570312, 205.8267059326172, 0.5553709268569946]","[542.333740234375, 198.04148864746094, 0.12864914536476135]","[530.99609375, 198.04148864746094, 0.15482209622859955]","[525.6256103515625, 253.73573303222656, 0.26192083954811096]","[537.5599975585938, 255.53233337402344, 0.25818294286727905]","[519.658447265625, 307.0345458984375, 0.29187554121017456]","[573.959716796875, 283.67889404296875, 0.23109938204288483]","[541.7369995117188, 142.6466522216797]","[536.6649169921875, 198.04148864746094]"
subject_02,28,"[523.4371337890625, 115.68773651123047, 0.711943507194519]","[546.1461791992188, 143.22862243652344, 0.27828502655029297]","[526.4251708984375, 141.43247985839844, 0.18063709139823914]","[547.9390258789062, 179.15151977539062, 0.5440016388893127]","[520.4490356445312, 175.55921936035156, 0.3291868269443512]","[547.9390258789062, 212.08084106445312, 0.5286939144134521]","[510.28973388671875, 204.2975616455078, 0.4576829969882965]","[537.7796630859375, 198.9091033935547, 0.11050081998109818]","[524.63232421875, 198.9091033935547, 0.14308881759643555]","[524.63232421875, 255.1883087158203, 0.17955338954925537]","[521.644287109375, 255.1883087158203, 0.14306041598320007]","[519.8514404296875, 306.0790710449219, 0.2399277687072754]","[563.476806640625, 282.1304931640625, 0.2291182577610016]","[536.28564453125, 142.33055114746094]","[531.2059936523438, 198.9091033935547]"
subject_02,29,"[517.8795776367188, 113.24639892578125, 0.5628938674926758]","[541.8477172851562, 142.6351776123047, 0.19626694917678833]","[522.6732177734375, 138.43678283691406, 0.13018415868282318]","[541.8477172851562, 179.22122192382812, 0.39711764454841614]","[517.8795776367188, 172.6237335205078, 0.2209472954273224]","[540.6492919921875, 211.0091094970703, 0.4521779417991638]","[509.49072265625, 200.2132110595703, 0.3060058057308197]","[532.8596801757812, 197.21434020996094, 0.08457176387310028]","[519.6771850585938, 196.61459350585938, 0.10532035678625107]","[522.0740356445312, 255.99192810058594, 0.14922264218330383]","[514.8836059570312, 255.99192810058594, 0.13240446150302887]","[520.2764282226562, 306.97247314453125, 0.2380935251712799]","[553.2325439453125, 282.3818664550781, 0.16618146002292633]","[532.260498046875, 140.53598022460938]","[526.2684326171875, 196.91445922851562]"
subject_02,30,"[513.0203857421875, 113.3675308227539, 0.4469474256038666]","[535.7078857421875, 141.53163146972656, 0.2398846298456192]","[517.7966918945312, 137.33697509765625, 0.1388741284608841]","[535.7078857421875, 177.48582458496094, 0.32071802020072937]","[513.0203857421875, 172.69192504882812, 0.19829116761684418]","[533.3197021484375, 209.2453155517578, 0.4862409830093384]","[505.2588806152344, 201.45526123046875, 0.285898357629776]","[527.9463500976562, 199.6575469970703, 0.09085781127214432]","[513.0203857421875, 196.66136169433594, 0.08891292661428452]","[520.1848754882812, 257.1842346191406, 0.18082383275032043]","[504.0647888183594, 253.5888214111328, 0.26322150230407715]","[519.5878295898438, 306.3216247558594, 0.2810993492603302]","[541.6782836914062, 284.14984130859375, 0.15027335286140442]","[526.7523193359375, 139.43429565429688]","[520.4833984375, 198.15945434570312]"
subject_02,31,"[506.7885437011719, 112.45075225830078, 0.4083118140697479]","[529.9507446289062, 140.64768981933594, 0.21487310528755188]","[511.5397644042969, 137.04808044433594, 0.1019589900970459]","[530.544677734375, 178.44358825683594, 0.32190433144569397]","[507.9763488769531, 172.44422912597656, 0.10419051349163055]","[525.79345703125, 209.040283203125, 0.4582130014896393]","[503.2251281738281, 197.64151000976562, 0.13559329509735107]","[523.4178466796875, 201.24111938476562, 0.08334489911794662]","[508.57025146484375, 201.24111938476562, 0.05876108258962631]","[518.6666259765625, 254.63531494140625, 0.1743439882993698]","[495.5043640136719, 254.03538513183594, 0.2635606825351715]","[519.8544311523438, 307.4295959472656, 0.22660255432128906]","[525.1995239257812, 281.032470703125, 0.14074645936489105]","[520.7452392578125, 138.84788513183594]","[515.9940185546875, 201.24111938476562]"
subject_02,32,"[501.6340026855469, 111.88448333740234, 0.4258280396461487]","[525.0219116210938, 140.03662109375, 0.19194012880325317]","[507.6308898925781, 136.44273376464844, 0.10717030614614487]","[524.4222412109375, 177.7724609375, 0.2714965045452118]","[502.8333740234375, 171.7826385498047, 0.05212521180510521]","[517.8256225585938, 208.9195098876953, 0.43559765815734863]","[502.8333740234375, 197.53883361816406, 0.04974154382944107]","[517.2259521484375, 198.13783264160156, 0.05117266625165939]","[504.0327453613281, 197.53883361816406, 0.0685959905385971]","[516.626220703125, 255.6400604248047, 0.17824861407279968]","[487.84112548828125, 252.64515686035156, 0.23694582283496857]","[519.6246948242188, 306.5534973144531, 0.15033850073814392]","[513.6278076171875, 287.3861083984375, 0.09432802349328995]","[516.326416015625, 138.23968505859375]","[510.62933349609375, 197.8383331298828]"
subject_02,33,"[495.6963195800781, 112.88922119140625, 0.7185312509536743]","[519.0680541992188, 141.07286071777344, 0.20520727336406708]","[502.8876037597656, 136.87530517578125, 0.12104959040880203]","[518.46875, 178.25128173828125, 0.42471909523010254]","[498.69268798828125, 169.85614013671875, 0.03889207914471626]","[509.4796447753906, 207.6342315673828, 0.47047680616378784]","[498.0934143066406, 199.23912048339844, 0.07225082069635391]","[514.8731079101562, 202.83702087402344, 0.03782375901937485]","[499.8912353515625, 199.23912048339844, 0.08243583142757416]","[513.674560546875, 258.0050048828125, 0.17394913733005524]","[481.9129638671875, 252.0084686279297, 0.22833053767681122]","[519.6672973632812, 307.17645263671875, 0.16665223240852356]","[499.8912353515625, 296.98236083984375, 0.1869616061449051]","[510.97784423828125, 138.97409057617188]","[507.3821716308594, 201.03807067871094]"
